yPos,xPos,yVel,zVel,j1P,j2P,j3P,j4P,j5P,j6P,j7P,j1V,j2V,j3V,j4V,j5V,j6V,j7V,time,steps,j1Pmax,j1Pmin,j1Vmax,j1Amax,j1PmaxDist,j1PminDist,j1VmaxDist,j2Pmax,j2Pmin,j2Vmax,j2Amax,j2PmaxDist,j2PminDist,j2VmaxDist,j3Pmax,j3Pmin,j3Vmax,j3Amax,j3PmaxDist,j3PminDist,j3VmaxDist,j4Pmax,j4Pmin,j4Vmax,j4Amax,j4PmaxDist,j4PminDist,j4VmaxDist,j4Pmax,j5Pmin,j5Vmax,j5Amax,j5PmaxDist,j5PminDist,j5VmaxDist,j6Pmax,j6Pmin,j6Vmax,j6Amax,j6PmaxDist,j6PminDist,j6VmaxDist,j7Pmax,j7Pmin,j7Vmax,j7Amax,j7PmaxDist,j7PminDist,j7VmaxDist,catch?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010824755,0.3089622097,1.434120908,0.5247543845,0.6770087631,-0.8974254637,0.8282593844,2.2224900823,0.5743974027,-1.2888818631,-2.4960672649,-0.8055234482,-0.9171368263,0.7939396755,0.0403406403,1.1353986097,2.2792323797,-0.6117438723,1.41924,172,0.788376,-0.222811,1.5,2.9389,0.9116236091,1.4771892846,0.5,-0.294525,-0.83871,1.0202,1.3692,1.3345251167,1.2612900496,0.9797996283,0.779266,0.291765,0.897563,1.2828,2.2707340002,3.3417653322,1.1024373174,2.21539,1.71921,0.661391,1.30871,0.4026078873,1.7692089558,1.3386092782,0.50377,-0.827199,1.60926,1.78373,2.5962300062,2.222800839,2.3907351494,-1.16889,-1.80032,1.50491,3,3.2688933373,-0.2303188372,2.495087862,-0.908884,-2.45485,1.95176,2.9745,4.0088836312,0.5951495647,2.0482387543,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0075202467,0.3566650936,1.4035097617,0.4900002711,0.7016073591,-1.0845254836,0.8092037824,2.2308487283,0.6889306362,-1.1487380439,-2.4896572304,-0.73411283,-0.9877230261,0.6136112644,-0.0932495737,1.1845746513,2.3982163419,-0.6679749361,1.42392,87,0.793378,-0.222811,1.5,2.88081,0.9066221833,1.4771892846,0.5,-0.352919,-1.01594,0.944686,2.63716,1.3929188037,1.0840582609,1.0553141236,0.764968,0.329,0.720037,3,2.2850324988,3.3790002942,1.2799628973,2.23218,1.71793,0.676177,3,0.3858232193,1.7679251909,1.3238229752,0.606207,-0.827199,1.6948,2.43821,2.4937933445,2.222800839,2.3052005768,-1.1685,-1.72633,1.57661,3,3.2685039997,-0.1563256311,2.4233902693,-0.9085,-2.43812,1.91409,2.23072,4.0084998369,0.6118810654,2.0859104395,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0048178978,0.3435808833,1.4508213268,0.3656006817,0.7051570817,-1.0326299788,0.8119092012,2.224917086,0.6642594406,-1.1897781143,-2.4912347792,-0.7030334151,-0.9474833912,0.6613286833,-0.0878836127,1.2826473195,2.2845223009,-0.6907903002,1.37256,111,0.777099,-0.222811,1.5,2.84506,0.9229005098,1.4771892846,0.5,-0.361769,-0.971853,0.869964,0.830219,1.4017691696,1.128147161,1.1300355196,0.769865,0.351719,0.645352,0.753493,2.2801346064,3.4017192602,1.3546476364,2.22518,1.71921,0.656415,1.33081,0.3928157978,1.7692089558,1.3435854912,0.582671,-0.827199,1.74108,1.90872,2.5173287749,2.222800839,2.2589194775,-1.16889,-1.72394,1.53684,3,3.2688933373,-0.153940134,2.4631587267,-0.908884,-2.43823,1.91096,2.63486,4.0088836312,0.6117678165,2.0890382528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0129843996,0.3711328721,1.4258152929,0.4280034575,0.6838100925,-1.1389598541,0.8165287462,2.2384057254,0.711270551,-1.1035987506,-2.4914924175,-0.6906380104,-1.009721485,0.5519557744,-0.1524427078,1.2788588303,2.4339958011,-0.7097589083,1.66961,89,0.771199,-0.227294,1.45091,2.38196,0.9288014293,1.4727059275,0.5490859747,-0.364704,-1.06406,0.853486,0.621872,1.4047039235,1.0359384775,1.1465144754,0.778397,0.352073,0.530994,0.601998,2.2716028571,3.4020729542,1.4690057635,2.24443,1.68347,0.840838,2.41279,0.3735663586,1.7334665537,1.1591623426,0.618098,-0.827199,1.4835,1.37108,2.4819022179,2.222800839,2.5165038109,-1.15916,-1.81931,1.71134,3,3.2591595411,-0.2493067312,2.2886618376,-0.875953,-2.43026,1.92471,3,3.9759528995,0.6197379112,2.0752866268,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0061591771,0.3870324948,1.4692061045,0.2257272558,0.693273921,-1.1846017114,0.8197621679,2.2243725298,0.7570467293,-1.0636111906,-2.5131058371,-0.5750591995,-0.9721736024,0.4649025715,-0.2367364823,1.5274722015,2.3216133141,-0.8588477223,1.3933,166,0.769356,-0.222811,1.5,3,0.9306441069,1.4771892846,0.5,-0.352187,-1.12069,1.12023,1.3636,1.3921866202,0.9793096542,0.8797730207,0.787166,0.34284,0.676062,1.41112,2.2628340602,3.3928403437,1.3239375353,2.2347,1.69237,0.927978,3,0.383301466,1.7423745871,1.0720223188,0.660347,-0.827199,1.73912,2.45502,2.4396527767,2.222800839,2.2608846426,-1.16112,-1.59272,1.54724,3,3.261123395,-0.0227157402,2.4527572393,-0.908259,-2.45088,2.03235,2.46262,4.0082594514,0.5991206646,1.9676547051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0291547378,0.3581443552,1.4468524198,0.4943425122,0.640021057,-1.1021223058,0.8307275187,2.2624462545,0.6556333145,-1.1342724329,-2.4716068956,-0.7591767948,-1.0619590262,0.6337331484,-0.1235625094,1.2224238513,2.5476529448,-0.6323769357,1.55169,198,0.790886,-0.222811,1.5,2.7913,0.9091144323,1.4771892846,0.5,-0.278933,-1.02449,1.16218,1.48018,1.3189328694,1.0755139351,0.8378169537,0.78411,0.318147,0.700619,0.867803,2.2658896923,3.3681470335,1.2993809581,2.26618,1.67848,0.922517,1.48407,0.3518213921,1.7284837246,1.0774834156,0.569789,-0.827199,1.47515,1.876,2.530211246,2.222800839,2.5248473883,-1.16889,-1.8489,1.79514,3,3.2688933373,-0.2789027023,2.2048640251,-0.897276,-2.42046,1.89609,2.27644,3.9972759843,0.6295350075,2.1039129496,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0485949234,0.3483987524,1.4787926966,0.5407402522,0.5914703372,-1.078945724,0.8395873675,2.28905071,0.6001807265,-1.1518901012,-2.4505425738,-0.8056276619,-1.1265407936,0.6920050605,-0.1091378631,1.195362092,2.6773873338,-0.5605254904,1.59068,62,0.727815,-0.222811,1.4284,2.22038,0.9721848488,1.4771892846,0.5716027021,-0.363759,-1.00349,0.846095,0.732584,1.4037585342,1.0965081215,1.1539049745,0.791676,0.358076,0.598577,0.605666,2.2583236575,3.4080763042,1.4014227986,2.29099,1.71637,0.704243,3,0.3270141773,1.7663734436,1.2957573533,0.516975,-0.827199,1.44204,1.23205,2.5830246568,2.222800839,2.5579625368,-1.1684,-1.8589,1.78933,3,3.2684023142,-0.2889016199,2.2106722593,-0.908625,-2.40529,1.65975,1.70044,4.0086254239,0.6447132111,2.3402501345,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0180126937,0.3868271338,1.4870152088,0.2502710962,0.6527283536,-1.1894118547,0.8406284806,2.2409812452,0.7369415151,-1.0590236232,-2.5037915479,-0.6077954973,-1.0158532225,0.4883275088,-0.2451256393,1.5264794707,2.4140470704,-0.8272425112,1.56191,186,0.717587,-0.232467,1.5238,2.46405,0.9824125886,1.467532751,0.4762042761,-0.364704,-1.12268,0.918024,0.828414,1.4047039235,0.977317667,1.0819755197,0.806359,0.361636,0.532136,0.974269,2.2436414242,3.411635983,1.4678637385,2.25193,1.68796,0.868342,2.09124,0.3660721474,1.7379649162,1.13165766,0.640267,-0.827199,1.48787,2.79507,2.4597334623,2.222800839,2.5121346712,-1.13899,-1.64029,1.61806,3,3.2389850378,-0.0702896643,2.3819433451,-0.871326,-2.45091,2.08889,3,3.9713261485,0.5990911007,1.9111127853,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0068399867,0.3312858248,1.4640370256,0.3684256187,0.6950008007,-0.9849344197,0.8190676717,2.2249504187,0.6330079015,-1.226156883,-2.4915954054,-0.7252609075,-0.9332764645,0.7157384485,-0.0568335901,1.2754765906,2.260376311,-0.6716573833,1.47543,82,0.797177,-0.223003,1.5,3,0.9028232217,1.4769974917,0.5,-0.346704,-0.926051,0.884728,1.51729,1.386703589,1.1739493966,1.1152718663,0.77454,0.330256,0.71315,2.30229,2.2754601121,3.3802562237,1.2868503332,2.22399,1.71275,0.699218,2.86083,0.3940078907,1.7627457857,1.3007817268,0.553247,-0.827199,1.57729,2.20584,2.5467533827,2.222800839,2.4227138758,-1.1675,-1.77902,1.58443,3,3.2675033569,-0.2090247202,2.4155724049,-0.906004,-2.44435,1.90419,2.74427,4.0060037732,0.6056466579,2.0958096981,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0167478493,0.394710421,1.4295887244,0.3900941009,0.641930027,-1.2083011385,0.8562036812,2.2350302291,0.7565850649,-1.0414062856,-2.5181393996,-0.6684502318,-1.0162291291,0.484511429,-0.2316527374,1.4105744829,2.4592339291,-0.7939893243,1.37933,123,0.736867,-0.222811,1.5,3,0.9631326318,1.4771892846,0.5,-0.360706,-1.14199,1.07111,1.15728,1.4007062101,0.9580063581,0.9288851023,0.820972,0.361636,0.60062,0.535616,2.2290283918,3.411635983,1.3993804455,2.24461,1.67479,1.05272,1.99679,0.3733935051,1.7247854948,0.9472792149,0.664294,-0.827199,1.80079,2.14083,2.4357056379,2.222800839,2.1992106438,-1.16889,-1.65211,1.65689,3,3.2688933373,-0.0821126032,2.3431061506,-0.908884,-2.45948,1.96595,2.35673,4.0088836312,0.5905228138,2.0340540409,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
